"#","カテゴリ","確認観点/期待結果",""
"1","正常系","前半業務が終了した際、期待した数の下書きメールが登録されていること",""
"2","","登録されている各下書きメールの内容に誤りがないこと",""
"3","","登録されている各下書きメールに正しいPDFファイルが添付されていること",""
"4","","ライセンスキー交付日一覧に処理した件数分の行が追加されていること",""
"5","","ライセンスキー交付日一覧に追記した各情報が正しいこと",""
"6","","処理完了メール（前半業務）に記載された、成功／失敗件数が正しいこと。",""
"7","","処理完了メール（前半業務）が正しい宛先で送信されていること",""
"8","","処理完了メール（後半業務）が正しい宛先で送信されていること",""
"9","","後半業務終了時、ライセンスキー交付日一覧に追記した各情報が正しいこと",""
"10","異常系","SFDC上の記載に抜け漏れや誤りがある際、失敗としてカウントされること",""
"11","","SFDC上に添付されているファイルに漏れや誤りがあった際、失敗としてカウントされること",""
"12","","当日、処理対象とするOpportunityが存在しなかった場合、何もせず終了すること※終了メールだけは送信される",""
