MONTH,WEEK,HOUR,TEMP
8,2,0,26.900000
8,2,1,26.600000
8,2,2,26.299999
8,2,3,26.799999
8,2,4,26.500000
8,2,5,26.000000
8,2,6,26.799999
8,2,7,27.700001
8,2,8,29.100000
8,2,9,30.600000
8,2,10,32.000000
8,2,11,32.900002
8,2,12,33.200001
8,2,13,33.799999
8,2,14,33.799999
8,2,15,33.200001
8,2,16,32.299999
8,2,17,31.100000
8,2,18,30.100000
8,2,19,29.200001
8,2,20,28.400000
8,2,21,27.900000
8,2,22,27.400000
8,2,23,27.100000
8,3,0,26.799999
8,3,1,26.200001
8,3,2,25.600000
8,3,3,25.400000
8,3,4,24.900000
8,3,5,25.000000
8,3,6,25.100000
8,3,7,25.900000
8,3,8,26.400000
8,3,9,27.799999
8,3,10,28.799999
8,3,11,29.200001
8,3,12,30.000000
8,3,13,30.500000
8,3,14,30.799999
8,3,15,30.500000
8,3,16,30.299999
8,3,17,29.700001
8,3,18,28.100000
8,3,19,27.100000
8,3,20,26.299999
8,3,21,25.400000
8,3,22,24.799999
8,3,23,24.299999
8,4,0,24.100000
8,4,1,23.500000
8,4,2,23.100000
8,4,3,23.200001
8,4,4,22.900000
8,4,5,22.400000
8,4,6,23.000000
8,4,7,24.000000
8,4,8,25.799999
8,4,9,27.600000
8,4,10,29.400000
8,4,11,30.299999
8,4,12,30.600000
8,4,13,30.900000
8,4,14,31.200001
8,4,15,31.100000
8,4,16,30.600000
8,4,17,29.600000
8,4,18,28.500000
8,4,19,27.600000
8,4,20,27.100000
8,4,21,26.500000
8,4,22,26.000000
8,4,23,25.600000
8,5,0,25.600000
8,5,1,25.000000
8,5,2,24.500000
8,5,3,24.799999
8,5,4,24.799999
8,5,5,24.700001
8,5,6,24.900000
8,5,7,25.500000
8,5,8,27.600000
8,5,9,30.200001
8,5,10,31.900000
8,5,11,33.500000
8,5,12,34.200001
8,5,13,35.099998
8,5,14,35.500000
8,5,15,34.700001
8,5,16,34.200001
8,5,17,33.299999
8,5,18,31.200001
8,5,19,29.500000
8,5,20,28.500000
8,5,21,27.900000
8,5,22,27.200001
8,5,23,26.600000
8,6,0,26.200001
8,6,1,25.600000
8,6,2,25.400000
8,6,3,25.200001
8,6,4,25.000000
8,6,5,24.600000
8,6,6,24.799999
8,6,7,25.600000
8,6,8,26.900000
8,6,9,28.799999
8,6,10,30.500000
8,6,11,31.799999
8,6,12,32.500000
8,6,13,33.000000
8,6,14,33.500000
8,6,15,33.299999
8,6,16,32.400002
8,6,17,31.200001
8,6,18,29.500000
8,6,19,28.400000
8,6,20,27.799999
8,6,21,27.200001
8,6,22,26.700001
8,6,23,26.500000
9,0,0,26.100000
9,0,1,25.799999
9,0,2,25.500000
9,0,3,25.400000
9,0,4,25.000000
9,0,5,25.200001
9,0,6,25.200001
9,0,7,25.799999
9,0,8,27.000000
9,0,9,28.799999
9,0,10,30.799999
9,0,11,32.200001
9,0,12,33.099998
9,0,13,33.700001
9,0,14,33.400002
9,0,15,32.799999
9,0,16,31.799999
9,0,17,30.600000
9,0,18,29.400000
9,0,19,28.500000
9,0,20,28.100000
9,0,21,27.600000
9,0,22,27.299999
9,0,23,27.100000
9,1,0,27.100000
9,1,1,26.900000
9,1,2,26.600000
9,1,3,26.900000
9,1,4,26.600000
9,1,5,26.200001
9,1,6,26.500000
9,1,7,27.500000
9,1,8,29.200001
9,1,9,30.500000
9,1,10,31.900000
9,1,11,33.200001
9,1,12,33.700001
9,1,13,33.900002
9,1,14,33.500000
9,1,15,33.200001
9,1,16,32.500000
9,1,17,30.900000
9,1,18,29.500000
9,1,19,28.700001
9,1,20,28.000000
9,1,21,28.000000
9,1,22,27.400000
9,1,23,26.299999
9,2,0,25.900000
9,2,1,25.600000
9,2,2,25.100000
9,2,3,25.000000
9,2,4,25.100000
9,2,5,25.000000
9,2,6,24.600000
9,2,7,25.500000
9,2,8,27.799999
9,2,9,29.900000
9,2,10,31.799999
9,2,11,32.900002
9,2,12,33.000000
9,2,13,33.200001
9,2,14,33.000000
9,2,15,32.200001
9,2,16,31.400000
9,2,17,30.500000
9,2,18,29.900000
9,2,19,28.900000
9,2,20,28.200001
9,2,21,27.799999
9,2,22,27.400000
9,2,23,26.900000
9,3,0,26.500000
9,3,1,26.000000
9,3,2,25.600000
9,3,3,25.400000
9,3,4,25.299999
9,3,5,25.200001
9,3,6,25.100000
9,3,7,25.200001
9,3,8,25.500000
9,3,9,25.900000
9,3,10,25.400000
9,3,11,25.000000
9,3,12,25.000000
9,3,13,25.400000
9,3,14,25.400000
9,3,15,25.500000
9,3,16,25.400000
9,3,17,25.100000
9,3,18,24.700001
9,3,19,24.500000
9,3,20,24.500000
9,3,21,24.500000
9,3,22,25.200001
9,3,23,25.500000
9,4,0,25.200001
9,4,1,24.799999
9,4,2,24.700001
9,4,3,24.799999
9,4,4,24.799999
9,4,5,24.500000
9,4,6,24.500000
9,4,7,24.700001
9,4,8,24.700001
9,4,9,25.299999
9,4,10,25.900000
9,4,11,25.500000
9,4,12,25.700001
9,4,13,25.500000
9,4,14,25.100000
9,4,15,24.900000
9,4,16,25.000000
9,4,17,25.000000
9,4,18,25.000000
9,4,19,25.000000
9,4,20,25.100000
