MONTH,WEEK,HOUR,TEMP
10,4,0,18.100000
10,4,1,18.100000
10,4,2,18.500000
10,4,3,18.000000
10,4,4,18.500000
10,4,5,19.000000
10,4,6,18.400000
10,4,7,18.799999
10,4,8,19.799999
10,4,9,21.299999
10,4,10,22.400000
10,4,11,23.200001
10,4,12,24.100000
10,4,13,24.500000
10,4,14,24.200001
10,4,15,22.200001
10,4,16,21.600000
10,4,17,20.500000
10,4,18,20.000000
10,4,19,19.100000
10,4,20,18.000000
10,4,21,17.400000
10,4,22,16.799999
10,4,23,16.100000
10,5,0,15.600000
10,5,1,15.100000
10,5,2,14.800000
10,5,3,14.700000
10,5,4,14.400000
10,5,5,14.400000
10,5,6,14.400000
10,5,7,14.900000
10,5,8,15.900000
10,5,9,17.500000
10,5,10,20.400000
10,5,11,22.900000
10,5,12,23.500000
10,5,13,24.299999
10,5,14,24.600000
10,5,15,24.200001
10,5,16,24.000000
10,5,17,23.299999
10,5,18,22.799999
10,5,19,22.500000
10,5,20,22.200001
10,5,21,22.200001
10,5,22,22.000000
10,5,23,21.600000
10,6,0,20.000000
10,6,1,19.600000
10,6,2,19.299999
10,6,3,19.500000
10,6,4,19.500000
10,6,5,20.100000
10,6,6,20.000000
10,6,7,20.200001
10,6,8,20.700001
10,6,9,21.100000
10,6,10,21.600000
10,6,11,22.000000
10,6,12,21.000000
10,6,13,20.799999
10,6,14,20.900000
10,6,15,19.400000
10,6,16,18.799999
10,6,17,18.200001
10,6,18,17.900000
10,6,19,17.400000
10,6,20,16.500000
10,6,21,16.500000
10,6,22,16.500000
10,6,23,15.900000
10,0,0,15.800000
10,0,1,15.900000
10,0,2,15.000000
10,0,3,15.200000
10,0,4,14.900000
10,0,5,14.900000
10,0,6,15.100000
10,0,7,15.200000
10,0,8,15.600000
10,0,9,15.700000
10,0,10,16.500000
10,0,11,17.700001
10,0,12,18.900000
10,0,13,19.799999
10,0,14,20.100000
10,0,15,19.299999
10,0,16,19.299999
10,0,17,19.000000
10,0,18,18.600000
10,0,19,18.400000
10,0,20,17.900000
10,0,21,17.500000
10,0,22,16.600000
10,0,23,16.200001
10,1,0,15.900000
10,1,1,15.700000
10,1,2,15.400000
10,1,3,14.700000
10,1,4,14.600000
10,1,5,14.600000
10,1,6,14.100000
10,1,7,13.300000
10,1,8,13.200000
10,1,9,13.100000
10,1,10,13.800000
10,1,11,14.200000
10,1,12,14.800000
10,1,13,15.100000
10,1,14,15.600000
10,1,15,15.200000
10,1,16,15.100000
10,1,17,14.900000
10,1,18,14.900000
10,1,19,14.600000
10,1,20,14.400000
10,1,21,14.400000
10,1,22,14.200000
10,1,23,14.100000
10,2,0,14.100000
10,2,1,13.900000
10,2,2,13.800000
10,2,3,13.600000
10,2,4,12.600000
10,2,5,11.900000
10,2,6,11.100000
10,2,7,10.900000
10,2,8,10.900000
10,2,9,11.600000
10,2,10,12.000000
10,2,11,12.800000
10,2,12,13.300000
10,2,13,13.500000
10,2,14,12.200000
10,2,15,11.700000
10,2,16,11.500000
10,2,17,11.400000
10,2,18,11.800000
10,2,19,11.600000
10,2,20,11.600000
10,2,21,12.100000
10,2,22,11.900000
10,2,23,11.800000
