MONTH,WEEK,HOUR,TEMP
9.0,4.0,8.0,30.0
9.0,4.0,9.0,31.3
9.0,4.0,10.0,30.9
9.0,4.0,11.0,32.6
9.0,4.0,12.0,32.6
9.0,4.0,13.0,31.8
9.0,4.0,14.0,33.7
9.0,4.0,15.0,32.6
9.0,4.0,16.0,31.5
9.0,4.0,17.0,30.3
9.0,4.0,18.0,29.1
9.0,4.0,19.0,28.9
9.0,4.0,20.0,28.8
9.0,4.0,21.0,28.8
9.0,4.0,22.0,28.5
9.0,4.0,23.0,28.6
9.0,5.0,0.0,28.3
9.0,5.0,1.0,27.7
9.0,5.0,2.0,27.5
9.0,5.0,3.0,27.1
9.0,5.0,4.0,27.2
9.0,5.0,5.0,26.8
9.0,5.0,6.0,26.5
9.0,5.0,7.0,27.9
9.0,5.0,8.0,29.6
9.0,5.0,9.0,31.4
9.0,5.0,10.0,32.9
9.0,5.0,11.0,33.8
9.0,5.0,12.0,33.0
9.0,5.0,13.0,32.0
9.0,5.0,14.0,32.1
9.0,5.0,15.0,32.1
9.0,5.0,16.0,30.9
9.0,5.0,17.0,30.0
9.0,5.0,18.0,29.1
9.0,5.0,19.0,28.9
9.0,5.0,20.0,28.8
9.0,5.0,21.0,28.4
9.0,5.0,22.0,28.0
9.0,5.0,23.0,28.2
9.0,6.0,0.0,28.4
9.0,6.0,1.0,28.1
9.0,6.0,2.0,28.1
9.0,6.0,3.0,28.1
9.0,6.0,4.0,28.3
9.0,6.0,5.0,28.1
9.0,6.0,6.0,28.3
9.0,6.0,7.0,28.5
9.0,6.0,8.0,30.4
9.0,6.0,9.0,31.5
9.0,6.0,10.0,32.9
9.0,6.0,11.0,32.7
9.0,6.0,12.0,33.9
9.0,6.0,13.0,33.8
9.0,6.0,14.0,33.6
9.0,6.0,15.0,31.8
9.0,6.0,16.0,31.4
9.0,6.0,17.0,30.4
9.0,6.0,18.0,29.7
9.0,6.0,19.0,29.3
9.0,6.0,20.0,29.5
9.0,6.0,21.0,29.1
9.0,6.0,22.0,27.5
9.0,6.0,23.0,26.0
9.0,0.0,0.0,25.8
9.0,0.0,1.0,25.9
9.0,0.0,2.0,25.4
9.0,0.0,3.0,25.0
9.0,0.0,4.0,24.9
9.0,0.0,5.0,25.1
9.0,0.0,6.0,25.2
9.0,0.0,7.0,25.4
9.0,0.0,8.0,25.8
9.0,0.0,9.0,26.1
9.0,0.0,10.0,25.8
9.0,0.0,11.0,26.4
9.0,0.0,12.0,26.9
9.0,0.0,13.0,27.3
9.0,0.0,14.0,27.1
9.0,0.0,15.0,27.7
9.0,0.0,16.0,27.2
9.0,0.0,17.0,26.4
9.0,0.0,18.0,25.9
9.0,0.0,19.0,25.2
9.0,0.0,20.0,24.8
9.0,0.0,21.0,24.3
9.0,0.0,22.0,24.2
9.0,0.0,23.0,24.2
9.0,1.0,0.0,23.9
9.0,1.0,1.0,23.8
9.0,1.0,2.0,23.5
9.0,1.0,3.0,23.9
9.0,1.0,4.0,23.9
9.0,1.0,5.0,23.4
9.0,1.0,6.0,24.1
9.0,1.0,7.0,24.8
9.0,1.0,8.0,25.8
9.0,1.0,9.0,27.2
9.0,1.0,10.0,29.4
9.0,1.0,11.0,30.3
9.0,1.0,12.0,30.6
9.0,1.0,13.0,31.9
9.0,1.0,14.0,32.9
9.0,1.0,15.0,32.1
9.0,1.0,16.0,30.8
