MONTH,WEEK,HOUR,TEMP
10,0,0,20.000000
10,0,1,19.600000
10,0,2,19.400000
10,0,3,19.400000
10,0,4,19.299999
10,0,5,19.000000
10,0,6,19.100000
10,0,7,19.500000
10,0,8,20.000000
10,0,9,20.600000
10,0,10,21.299999
10,0,11,21.500000
10,0,12,22.900000
10,0,13,24.000000
10,0,14,24.500000
10,0,15,23.400000
10,0,16,22.900000
10,0,17,22.200001
10,0,18,21.700001
10,0,19,21.200001
10,0,20,20.799999
10,0,21,19.900000
10,0,22,19.400000
10,0,23,19.000000
10,1,0,19.000000
10,1,1,18.500000
10,1,2,18.000000
10,1,3,18.200001
10,1,4,17.900000
10,1,5,17.500000
10,1,6,17.700001
10,1,7,17.900000
10,1,8,18.200001
10,1,9,18.500000
10,1,10,19.000000
10,1,11,19.500000
10,1,12,20.000000
10,1,13,20.400000
10,1,14,20.500000
10,1,15,19.799999
10,1,16,19.500000
10,1,17,19.000000
10,1,18,17.900000
10,1,19,17.600000
10,1,20,16.900000
10,1,21,16.600000
10,1,22,16.000000
10,1,23,15.500000
10,2,0,15.600000
10,2,1,15.400000
10,2,2,15.400000
10,2,3,15.200000
10,2,4,15.200000
10,2,5,15.200000
10,2,6,15.300000
10,2,7,15.400000
10,2,8,15.800000
10,2,9,15.600000
10,2,10,16.100000
10,2,11,16.500000
10,2,12,18.299999
10,2,13,19.200001
10,2,14,19.799999
10,2,15,18.900000
10,2,16,18.900000
10,2,17,18.700001
10,2,18,18.000000
10,2,19,17.700001
10,2,20,17.299999
10,2,21,17.500000
10,2,22,17.500000
10,2,23,17.200001
10,3,0,17.400000
10,3,1,17.100000
10,3,2,16.600000
10,3,3,16.700001
10,3,4,16.500000
10,3,5,16.299999
10,3,6,16.400000
10,3,7,16.600000
10,3,8,17.000000
10,3,9,17.000000
10,3,10,17.500000
10,3,11,18.100000
10,3,12,18.500000
10,3,13,19.200001
10,3,14,19.700001
10,3,15,19.799999
10,3,16,19.700001
10,3,17,19.400000
10,3,18,19.500000
10,3,19,19.000000
10,3,20,18.299999
10,3,21,18.000000
10,3,22,17.799999
10,3,23,17.600000
10,4,0,18.100000
10,4,1,18.100000
10,4,2,18.500000
10,4,3,18.000000
10,4,4,18.500000
10,4,5,19.000000
10,4,6,18.400000
10,4,7,18.799999
10,4,8,19.799999
10,4,9,21.299999
10,4,10,22.400000
10,4,11,23.200001
10,4,12,24.100000
10,4,13,24.500000
10,4,14,24.200001
10,4,15,22.200001
10,4,16,21.600000
10,4,17,20.500000
10,4,18,20.000000
10,4,19,19.100000
10,4,20,18.000000
10,4,21,17.400000
10,4,22,16.799999
10,4,23,16.100000
10,5,0,15.600000
10,5,1,15.100000
10,5,2,14.800000
10,5,3,14.700000
10,5,4,14.400000
10,5,5,14.400000
10,5,6,14.400000
10,5,7,14.900000
10,5,8,15.900000
10,5,9,17.500000
10,5,10,20.400000
10,5,11,22.900000
10,5,12,23.500000
10,5,13,24.299999
10,5,14,24.600000
10,5,15,24.200001
10,5,16,24.000000
10,5,17,23.299999
10,5,18,22.799999
10,5,19,22.500000
10,5,20,22.200001
10,5,21,22.200001
10,5,22,22.000000
10,5,23,21.600000
10,6,0,20.000000
10,6,1,19.600000
10,6,2,19.299999
10,6,3,19.500000
10,6,4,19.500000
10,6,5,20.100000
10,6,6,20.000000
10,6,7,20.200001
10,6,8,20.700001
10,6,9,21.100000
10,6,10,21.600000
10,6,11,22.000000
10,6,12,21.000000
