INTEGRATION_PID_CODE,MEAS_DATETIME,KKS_UNIT_CODE,PID_CODE,PID_NAME,SI_UNIT,LOWER_LIMIT_NUMBER,UPPER_LIMIT_NUMBER,OFF_STATUS_NAME,ON_STATUS_NAME,DATA_CLASS_CODE,MEAS_NAME,DB_NAME,PLANT_CODE,UNIT_NAME,PRELIM_CODE,ALARM_FLAG,DECIMAL_POINT_NUMBER,MEAS_VALUE,QUALITY_NUMBER,CORR_PID_NAME,SDR_SI_UNIT,SDR_XFORM_COEF,CORR_COEF,CORR_MEAS_VALUE,CORR_LOWER_LIMIT_NUMBER,CORR_UPPER_LIMIT_NUMBER,REG_PROJ_NAME,DELETE_FLAG,VALUE_CLASS_NAME,INPUT_TYPE_CLASS,DRAWING_NUMBER,STAT_CALC_VALUE_CLASS,ADDITION_GRANULARITY_CLASS,FUEL_TYPE_CLASS,VALUE_TYPE_CLASS,FETCH_POINT_TEXT,VALUE_RANGE_TEXT,VALUE_OUTPUT_COND_TEXT,INFLUX_LINK_NUMBER,INFLUX_LINK_FLAG,PLANT_LINK_ORDER_FLAG,PLANT_LINK_FLAG,CREATE_AT,UPDATE_AT,PROCESS_AT,PROCESS_ID,JST_TIME
J__AZZZ=00D00038,2025-03-20 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1185.546875,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-03-20 00:00:50.489 +0900,,2025-03-20 00:02:01.093 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-03-20 00:00:00.000 +0900
J__AZZZ=00D00038,2025-03-21 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1166.9921875,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-03-21 00:00:50.400 +0900,,2025-03-21 00:02:00.892 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-03-21 00:00:00.000 +0900
J__AZZZ=00D00038,2025-03-22 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1151.953125,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-03-22 00:00:50.167 +0900,,2025-03-22 00:02:01.615 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-03-22 00:00:00.000 +0900
J__AZZZ=00D00038,2025-03-23 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1131.25,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-03-23 00:00:50.547 +0900,,2025-03-23 00:02:01.003 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-03-23 00:00:00.000 +0900
J__AZZZ=00D00038,2025-03-24 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1125.9765625,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-03-24 00:00:49.967 +0900,,2025-03-24 00:02:00.977 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-03-24 00:00:00.000 +0900
J__AZZZ=00D00038,2025-03-25 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1089.453125,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-03-25 00:00:50.335 +0900,,2025-03-25 00:02:01.038 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-03-25 00:00:00.000 +0900
J__AZZZ=00D00038,2025-03-26 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1068.9453125,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-03-26 00:00:50.606 +0900,,2025-03-26 00:02:00.985 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-03-26 00:00:00.000 +0900
J__AZZZ=00D00038,2025-03-27 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1047.8515625,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-03-27 00:00:49.809 +0900,,2025-03-27 00:02:01.050 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-03-27 00:00:00.000 +0900
J__AZZZ=00D00038,2025-03-28 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1016.2109375,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-03-28 00:00:50.475 +0900,,2025-03-28 00:02:00.852 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-03-28 00:00:00.000 +0900
J__AZZZ=00D00038,2025-03-29 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,978.7109375,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-03-29 00:00:49.982 +0900,,2025-03-29 00:02:00.766 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-03-29 00:00:00.000 +0900
