発電所,発電所ユニット,統合PIDコード,PIDコード,PID名,単位
上越火力発電所,共通,J__AZZZ=00A00053,00A00053,No.1ｱﾝﾓﾆｱ装置受入口ｶﾞｽ濃度,ppm
上越火力発電所,共通,J__AZZZ=00A00054,00A00054,No.2ｱﾝﾓﾆｱ装置受入口ｶﾞｽ濃度,ppm
上越火力発電所,共通,J__AZZZ=00A00055,00A00055,No.1ｱﾝﾓﾆｱﾀﾝｸ上部ｶﾞｽ濃度,ppm
上越火力発電所,共通,J__AZZZ=00A00056,00A00056,No.2ｱﾝﾓﾆｱﾀﾝｸ上部ｶﾞｽ濃度,ppm
上越火力発電所,共通,J__AZZZ=00A00057,00A00057,No.1ｱﾝﾓﾆｱﾀﾝｸ下部ｶﾞｽ濃度,ppm
上越火力発電所,共通,J__AZZZ=00A00058,00A00058,No.2ｱﾝﾓﾆｱﾀﾝｸ下部ｶﾞｽ濃度,ppm
上越火力発電所,共通,J__AZZZ=00A00059,00A00059,No.1ｱﾝﾓﾆｱ気化器廻りｶﾞｽ濃度,ppm
上越火力発電所,共通,J__AZZZ=00A00060,00A00060,No.2ｱﾝﾓﾆｱ気化器廻りｶﾞｽ濃度,ppm
上越火力発電所,共通,J__AZZZ=00A00061,00A00061,No.1ｱﾝﾓﾆｱｱｷｭｰﾑﾚｰﾀ廻りｶﾞｽ濃度,ppm
上越火力発電所,共通,J__AZZZ=00A00062,00A00062,No.2ｱﾝﾓﾆｱｱｷｭｰﾑﾚｰﾀ廻りｶﾞｽ濃度,ppm
上越火力発電所,共通,J__AZZZ=00A01510,00A01510,No.1ｱﾝﾓﾆｱ装置受入口ｶﾞｽ検知器故障,
上越火力発電所,共通,J__AZZZ=00A01511,00A01511,No.2ｱﾝﾓﾆｱ装置受入口ｶﾞｽ検知器故障,
上越火力発電所,共通,J__AZZZ=00A01512,00A01512,No.1ｱﾝﾓﾆｱﾀﾝｸ上部ｶﾞｽ検知器故障,
上越火力発電所,共通,J__AZZZ=00A01513,00A01513,No.2ｱﾝﾓﾆｱﾀﾝｸ上部ｶﾞｽ検知器故障,
上越火力発電所,共通,J__AZZZ=00A01514,00A01514,No.1ｱﾝﾓﾆｱﾀﾝｸ下部ｶﾞｽ検知器故障,
上越火力発電所,共通,J__AZZZ=00A01515,00A01515,No.2ｱﾝﾓﾆｱﾀﾝｸ下部ｶﾞｽ検知器故障,
上越火力発電所,共通,J__AZZZ=00A01516,00A01516,No.1ｱﾝﾓﾆｱ気化器廻りｶﾞｽ検知器故障,
上越火力発電所,共通,J__AZZZ=00A01517,00A01517,No.2ｱﾝﾓﾆｱ気化器廻りｶﾞｽ検知器故障,
上越火力発電所,共通,J__AZZZ=00A01518,00A01518,No.1ｱﾝﾓﾆｱｱｷｭｰﾑﾚｰﾀ廻りｶﾞｽ検知器故障,
上越火力発電所,共通,J__AZZZ=00A01519,00A01519,No.2ｱﾝﾓﾆｱｱｷｭｰﾑﾚｰﾀ廻りｶﾞｽ検知器故障,
上越火力発電所,共通,J__AZZZ=00A01522,00A01522,No.1ｱﾝﾓﾆｱ装置受入口ｶﾞｽ濃度高,
上越火力発電所,共通,J__AZZZ=00A01523,00A01523,No.2ｱﾝﾓﾆｱ装置受入口ｶﾞｽ濃度高,
上越火力発電所,共通,J__AZZZ=00A01524,00A01524,No.1ｱﾝﾓﾆｱﾀﾝｸ上部ｶﾞｽ濃度高,
上越火力発電所,共通,J__AZZZ=00A01525,00A01525,No.1ｱﾝﾓﾆｱﾀﾝｸ下部ｶﾞｽ濃度高,
上越火力発電所,共通,J__AZZZ=00A01526,00A01526,No.2ｱﾝﾓﾆｱﾀﾝｸ上部ｶﾞｽ濃度高,
